"source_id","name","contact_sheet","review_status","review_note"
"11","春日风车背景","contact-sheets/decorations/decoration-011.png","reviewed-ok",""
"12","绿顶小木屋","contact-sheets/decorations/decoration-012.png","reviewed-ok",""
"13","爱心木栅栏","contact-sheets/decorations/decoration-013.png","reviewed-ok",""
"14","木制小狗窝","contact-sheets/decorations/decoration-014.png","reviewed-with-note","完整轮廓同帧包含狗窝和远端设施，接入静态场景前确认是否保留整帧。"
"16","圣诞快乐","contact-sheets/decorations/decoration-016.png","reviewed-ok",""
"17","圣诞雪屋","contact-sheets/decorations/decoration-017.png","reviewed-ok",""
"18","小院围墙","contact-sheets/decorations/decoration-018.png","reviewed-ok",""
"19","圣诞狗窝","contact-sheets/decorations/decoration-019.png","reviewed-ok",""
"21","春天的故事","contact-sheets/decorations/decoration-021.png","blocked-missing-source","missing-swf-and-full-image"
"22","春天小屋","contact-sheets/decorations/decoration-022.png","reviewed-ok",""
"23","春天围墙","contact-sheets/decorations/decoration-023.png","reviewed-ok",""
"24","春天狗窝","contact-sheets/decorations/decoration-024.png","reviewed-ok",""
"26","新年快乐","contact-sheets/decorations/decoration-026.png","reviewed-ok",""
"27","新年小屋","contact-sheets/decorations/decoration-027.png","reviewed-ok",""
"28","新年围墙","contact-sheets/decorations/decoration-028.png","reviewed-ok",""
"29","新年狗窝","contact-sheets/decorations/decoration-029.png","reviewed-ok",""
"31","夏日海滩","contact-sheets/decorations/decoration-031.png","reviewed-ok",""
"32","海滩别墅","contact-sheets/decorations/decoration-032.png","reviewed-ok",""
"33","海滩栅栏","contact-sheets/decorations/decoration-033.png","reviewed-ok",""
"34","海滩狗窝","contact-sheets/decorations/decoration-034.png","reviewed-ok",""
"41","浓情原野","contact-sheets/decorations/decoration-041.png","reviewed-ok",""
"42","温情蒙古包","contact-sheets/decorations/decoration-042.png","reviewed-ok",""
"43","怡情围毡","contact-sheets/decorations/decoration-043.png","reviewed-ok",""
"44","风情獒窝","contact-sheets/decorations/decoration-044.png","reviewed-ok",""
"45","魔幻乐园背景","contact-sheets/decorations/decoration-045.png","reviewed-ok",""
"46","蘑菇小屋","contact-sheets/decorations/decoration-046.png","reviewed-ok",""
"47","迷幻栅栏","contact-sheets/decorations/decoration-047.png","reviewed-ok",""
"48","迷你狗窝","contact-sheets/decorations/decoration-048.png","reviewed-ok",""
"49","欧洲田园风光","contact-sheets/decorations/decoration-049.png","reviewed-ok",""
"50","欧式简装别墅","contact-sheets/decorations/decoration-050.png","reviewed-ok",""
"51","欧式栅栏","contact-sheets/decorations/decoration-051.png","reviewed-ok",""
"52","欧洲风情小狗窝","contact-sheets/decorations/decoration-052.png","reviewed-ok",""
"53","阿尔卑斯山风光","contact-sheets/decorations/decoration-053.png","reviewed-ok",""
"54","山脚下小屋","contact-sheets/decorations/decoration-054.png","reviewed-with-note","完整轮廓同帧包含房屋主体和左侧独立立柱。"
"55","阿尔卑斯特产栅栏","contact-sheets/decorations/decoration-055.png","reviewed-ok",""
"56","阿尔卑斯特产狗屋","contact-sheets/decorations/decoration-056.png","reviewed-ok",""
"57","地中海风情","contact-sheets/decorations/decoration-057.png","reviewed-ok",""
"58","迷情蓝堡","contact-sheets/decorations/decoration-058.png","reviewed-ok",""
"59","白沙围廊","contact-sheets/decorations/decoration-059.png","reviewed-ok",""
"60","贝鲁特犬舍","contact-sheets/decorations/decoration-060.png","reviewed-ok",""
"61","仙踪林背景","contact-sheets/decorations/decoration-061.png","reviewed-ok",""
"62","豪华别墅","contact-sheets/decorations/decoration-062.png","reviewed-ok",""
"63","木制栅栏","contact-sheets/decorations/decoration-063.png","reviewed-ok",""
"64","豪华狗窝","contact-sheets/decorations/decoration-064.png","reviewed-ok",""
"65","水果熟啦背景","contact-sheets/decorations/decoration-065.png","reviewed-ok",""
"66","动漫小屋","contact-sheets/decorations/decoration-066.png","reviewed-with-note","完整轮廓同帧包含房屋主体及上方角色装饰。"
"67","铅笔栅栏","contact-sheets/decorations/decoration-067.png","reviewed-ok",""
"68","可爱狗窝","contact-sheets/decorations/decoration-068.png","reviewed-ok",""
"69","荷塘夜色背景","contact-sheets/decorations/decoration-069.png","reviewed-ok",""
"70","两楼小屋","contact-sheets/decorations/decoration-070.png","reviewed-ok",""
"71","石柱栅栏","contact-sheets/decorations/decoration-071.png","reviewed-ok",""
"72","复古狗窝","contact-sheets/decorations/decoration-072.png","reviewed-ok",""
"73","月光狂想背景","contact-sheets/decorations/decoration-073.png","reviewed-ok",""
"74","精灵小屋","contact-sheets/decorations/decoration-074.png","reviewed-ok",""
"75","月下连桩","contact-sheets/decorations/decoration-075.png","reviewed-ok",""
"76","光影狗窝","contact-sheets/decorations/decoration-076.png","reviewed-with-note","完整轮廓同帧包含狗窝主体和右侧独立枯枝。"
"77","操场背景","contact-sheets/decorations/decoration-077.png","reviewed-ok",""
"78","教学大楼","contact-sheets/decorations/decoration-078.png","reviewed-ok",""
"79","树木栅栏","contact-sheets/decorations/decoration-079.png","reviewed-ok",""
"80","平顶狗窝","contact-sheets/decorations/decoration-080.png","reviewed-ok",""
"81","大自然背景","contact-sheets/decorations/decoration-081.png","reviewed-ok",""
"82","树制小屋","contact-sheets/decorations/decoration-082.png","reviewed-ok",""
"83","木制栅栏","contact-sheets/decorations/decoration-083.png","reviewed-ok",""
"84","树桩狗窝","contact-sheets/decorations/decoration-084.png","reviewed-ok",""
"85","甜心广场背景","contact-sheets/decorations/decoration-085.png","reviewed-ok",""
"86","糖果小屋","contact-sheets/decorations/decoration-086.png","reviewed-ok",""
"87","棒棒糖栅栏","contact-sheets/decorations/decoration-087.png","reviewed-ok",""
"88","甜点狗窝","contact-sheets/decorations/decoration-088.png","reviewed-ok",""
"89","鹊桥相间背景","contact-sheets/decorations/decoration-089.png","reviewed-with-note","源 SWF 的耕地区域呈黑色占位，接入时需用实际耕地覆层验证。"
"90","望月楼","contact-sheets/decorations/decoration-090.png","reviewed-ok",""
"91","矮围墙","contact-sheets/decorations/decoration-091.png","reviewed-ok",""
"92","狗亭","contact-sheets/decorations/decoration-092.png","reviewed-ok",""
"93","厮守终生背景","contact-sheets/decorations/decoration-093.png","reviewed-with-note","源 SWF 的耕地区域呈黑色占位，接入时需用实际耕地覆层验证。"
"94","浪漫满屋","contact-sheets/decorations/decoration-094.png","reviewed-ok",""
"95","浪漫栅栏","contact-sheets/decorations/decoration-095.png","reviewed-ok","source-files-reused-by-402"
"96","粉色狗窝","contact-sheets/decorations/decoration-096.png","reviewed-ok",""
"97","狮子座背景","contact-sheets/decorations/decoration-097.png","reviewed-ok",""
"98","豪华城堡","contact-sheets/decorations/decoration-098.png","reviewed-ok",""
"99","铁栅栏","contact-sheets/decorations/decoration-099.png","reviewed-ok",""
"100","看门狗窝","contact-sheets/decorations/decoration-100.png","reviewed-ok",""
"201","沙漠背景","contact-sheets/decorations/decoration-201.png","reviewed-ok",""
"202","沙漠小屋","contact-sheets/decorations/decoration-202.png","reviewed-ok",""
"203","沙漠栅栏","contact-sheets/decorations/decoration-203.png","reviewed-ok",""
"204","沙漠狗窝","contact-sheets/decorations/decoration-204.png","reviewed-ok",""
"205","都市霓虹背景","contact-sheets/decorations/decoration-205.png","reviewed-ok",""
"206","玻璃花房","contact-sheets/decorations/decoration-206.png","reviewed-ok",""
"207","白金花栏","contact-sheets/decorations/decoration-207.png","reviewed-ok",""
"208","花亭小窝","contact-sheets/decorations/decoration-208.png","reviewed-ok",""
"209","入学啦背景","contact-sheets/decorations/decoration-209.png","reviewed-ok",""
"210","校友教学楼","contact-sheets/decorations/decoration-210.png","reviewed-ok",""
"211","红旗飘飘","contact-sheets/decorations/decoration-211.png","reviewed-ok",""
"212","门卫室","contact-sheets/decorations/decoration-212.png","reviewed-ok",""
"213","碧草云天背景","contact-sheets/decorations/decoration-213.png","reviewed-with-note","源 SWF 中心存在大面积白色占位，接入时需用实际耕地覆层验证。"
"214","风情木屋","contact-sheets/decorations/decoration-214.png","reviewed-ok",""
"215","积木栅栏","contact-sheets/decorations/decoration-215.png","reviewed-ok",""
"216","简约狗窝","contact-sheets/decorations/decoration-216.png","reviewed-ok",""
"225","乡间小路","contact-sheets/decorations/decoration-225.png","reviewed-ok",""
"226","烟囱小屋","contact-sheets/decorations/decoration-226.png","reviewed-ok",""
"227","休闲躺椅","contact-sheets/decorations/decoration-227.png","reviewed-ok",""
"228","黑瓦狗窝","contact-sheets/decorations/decoration-228.png","reviewed-ok",""
"229","蓝色海洋","contact-sheets/decorations/decoration-229.png","reviewed-ok",""
"230","红瓦小屋","contact-sheets/decorations/decoration-230.png","reviewed-ok",""
"231","木桩阑珊","contact-sheets/decorations/decoration-231.png","reviewed-ok",""
"232","红瓦狗窝","contact-sheets/decorations/decoration-232.png","reviewed-ok",""
"233","浓情绿野背景","contact-sheets/decorations/decoration-233.png","reviewed-ok",""
"234","尚品小屋","contact-sheets/decorations/decoration-234.png","reviewed-ok",""
"235","云白排桩","contact-sheets/decorations/decoration-235.png","reviewed-ok",""
"236","名雅小窝","contact-sheets/decorations/decoration-236.png","reviewed-ok",""
"237","圣诞背景","contact-sheets/decorations/decoration-237.png","reviewed-ok",""
"238","圣诞小屋","contact-sheets/decorations/decoration-238.png","reviewed-ok",""
"239","圣诞红栏","contact-sheets/decorations/decoration-239.png","reviewed-ok",""
"240","圣诞小窝","contact-sheets/decorations/decoration-240.png","reviewed-ok",""
"241","新年快乐背景","contact-sheets/decorations/decoration-241.png","reviewed-ok",""
